id,section_number,section_name_en,section_name_fr,subsection_number,subsection_name_en,subsection_name_fr,title_en,title_fr,id_2025_26
Q2_1Row3Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Total,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Total,Q4R5C1
Q2_1Row4Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Closed during reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Fermées pendant la période d’établissement de rapport,Q4R6C1
Q2_1Row5Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.1,2.1 Number of informal requests,2.1 Nombre de demandes informelles,Requests under the Access to Information Act: Number of informal requests - Carried over to next reporting period,Demandes en vertu de la Loi sur l’accès à l’information : Nombre de demandes informelles - Reportées à la prochaine période d’établissement de rapport,Q4R7C1
Q2_2Row1Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: Online,Nombre de demandes informelles - Mode: En ligne,Q5R1C1
Q2_2Row2Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: E-mail,Nombre de demandes informelles - Mode: Courriel,Q5R2C1
Q2_2Row3Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: Mail,Nombre de demandes informelles - Mode: Poste,Q5R3C1
Q2_2Row4Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: In person,Nombre de demandes informelles - Mode: En personne,Q5R4C1
Q2_2Row5Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: Phone,Nombre de demandes informelles - Mode: Téléphone,Q5R5C1
Q2_2Row6Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: Fax,Nombre de demandes informelles - Mode: Télécopieur,Q5R6C1
Q2_2Row7Cell1,2,Section 2 : Informal requests,Section 2 : Demandes informelles,2.2,2.2 Channels of informal requests,2.2 Mode des demandes informelles,Number of Informal Requests - Source: Total,Nombre de demandes informelles - Mode: Total,Q5R7C1
